publishedAt,authorDisplayName,textDisplay,likeCount
2023-06-01T06:52:26Z,@rizalfaqihudin7408,"Kan koin sebanyak itu kalau jatuh kedengeran, jadi pas momen lift buka tau ada duit disitu ya berebut",0
2023-06-01T16:16:30Z,@perencanaantangsel-ro4rt,"@@rizalfaqihudin7408 ngerti, masalahnya yg ditu jukan adalah anak2 itu bisa ngelihat koin yg jatuh kebawah lewat lubang kecil dibawah lift..jadi bukan karena suara, tapi yg ditunjukan oleh sutradara, adalah anak itu tau ada koin dibawah lift karena mereka lihat ada koin jatuh lewat lubang kecil dengan jarak sejauh itu...<br>beda cerita kalo jatuh pas liftnya lg gak ada, trus orang2 yg depan lift tuh ngelihat wih ada koin yg jatuh bawah lift..tapi gak bisa diambil dan mereka lupa, baru anak2 ini ambil kesempatn...TAPI KAN ENGGA GITU DI CERITANYA...makanya gak masuk akal filmnya, minimal ada logika nya dikit walopun cuma film",0
2023-05-08T08:10:47Z,@LitongivyIvy-nn6go,Pemainnya msin sma 😊,0
2023-05-01T13:38:31Z,@sagitaputri2391,Org beragama di film kenapa di bikin lemah sekali,0
2023-04-27T23:26:47Z,@pryoshiq9842,Joko anwar is 👌,1
2023-04-27T00:00:09Z,@renovlog4859,Wizz anying,1
2023-04-25T02:14:10Z,@Nangbenz,lagi dong pengabdi setan 3,2
2023-04-09T17:16:00Z,@akulapar1925,"Wkwk hantunya goblok,  yg di bunuh malah yg gak tau apa apa.  Pembunuhnya malah di biar bebas",0
2023-05-10T13:47:49Z,@YVVAyangviralviralaja633,"Ada teori kenapa mereka mati walau tak bersalah,karena raminom menuntut balas dengan alasan gagal membunuh keluarga rini yang menyembahnya,dan untuk menuntaskannya para anggota sekte meminta tumbal 1000 jiwa untuk raminom,dan disaat itu mereka yang seharusnya mati di lift harus dibunuh secara berbeda beda.",4
2023-04-07T18:36:14Z,@thegabuters360,Udah 9 bln berlalu dan msh mampir kesini karena trailernya mantap,1
2023-04-06T01:08:09Z,@lilpnda910,Gw liat trailer ny aja mau copot jantung gara2 banyak jumpscare nya. Belom lagi liat full movie ny di bioskop. Mantap2!! Filem pak Joko Anway emang ngak pernah bikin kita semua pada kecewa.,0
2023-04-04T16:02:26Z,@PAnGLiMaBAniJaWi99,Artis malysia tuhh peran ayah nya,0
2023-04-07T07:10:58Z,@ewa02,iya,0
2023-04-04T11:14:46Z,@raffannalika6132,It was scary as hell😂 joko anwar is no joke. I hate you that im afraid to go to jamban at night 😅,1
2023-03-29T09:29:21Z,@ajuzboysudarsana6120,Alur cerita ngawur gak masuk akaal,0
2023-04-01T12:49:47Z,@Ramm_rzzz,Lo aja yg kagak paham,0
2023-04-07T07:11:23Z,@ewa02,nonton yang dari pertama,0
2024-10-06T10:37:13Z,@anon2962,Film diperuntukkan utk penyuka plot rumit dan deep ga ccok utk org yg suka jumpscare doang.. Coba nntn hereditary pst lu bakal lbh pusing wkwk,0
2024-10-06T10:38:40Z,@anon2962,Sbnrnya ini ga rumit&quot;amat kok..,0
2023-03-18T01:38:09Z,@lilissujana157,Aleksis blackberry,0
2023-03-18T01:36:15Z,@lilissujana157,Hotel gajah Mada jalan Hayam Wuruk (Ike fristiyanti)🇮🇩❤ Oakwood teku hapi 🇲🇾,0
2023-03-18T01:34:33Z,@lilissujana157,Oakwood teku hapi 🇲🇾🐯🍉👻,0
2023-03-18T01:31:13Z,@lilissujana157,Jokowi,0
2023-03-17T03:16:39Z,@anjassaeful856,"Penonton sesuai sama trailer 6,3jt keren parah",0
2023-03-17T04:07:21Z,@ewa02,pemuja raminom semua 🤣,0
2023-03-16T07:28:43Z,@Zakaria24950,😄,0
